Date,Open,High,Low,Close,Adj Close,Volume,Change
2021-05-14,126.250000,127.889999,125.849998,127.449997,127.073868,81918000,0.009504926732673237
2021-05-17,126.820000,126.930000,125.169998,126.269997,125.897354,74244600,-0.004336879041160618
2021-05-18,126.559998,126.989998,124.779999,124.849998,124.481544,63342900,-0.013511378216045752
2021-05-19,123.160004,124.919998,122.860001,124.690002,124.322021,92612000,0.012422847923908855
2021-05-20,125.230003,127.720001,125.099998,127.309998,126.934280,76857100,0.0166093983084868
2021-05-21,127.820000,128.000000,125.209999,125.430000,125.059837,79295400,-0.018698169300578833
2021-05-24,126.010002,127.940002,125.940002,127.099998,126.724899,63092900,0.008650075253550105
2021-05-25,127.820000,128.320007,126.320000,126.900002,126.525497,72009500,-0.007197606008449324
2021-05-26,126.959999,127.389999,126.419998,126.849998,126.475639,56575900,-0.0008664225020984516
2021-05-27,126.440002,127.639999,125.080002,125.279999,124.910271,94625600,-0.009174335508156693
2021-05-28,125.570000,125.800003,124.550003,124.610001,124.242256,71311100,-0.007645130206259428
2021-06-01,125.080002,125.349998,123.940002,124.279999,123.913223,67637100,-0.006395930502143657
2021-06-02,124.279999,125.239998,124.050003,125.059998,124.690918,59278900,0.00627614263176804
2021-06-03,124.680000,124.849998,123.129997,123.540001,123.175415,76229200,-0.009143399101700377
2021-06-04,124.070000,126.160004,123.849998,125.889999,125.518478,75169300,0.014669130329652696
2021-06-07,126.169998,126.320000,124.830002,125.900002,125.528450,71057600,-0.0021399382125694105
2021-06-08,126.599998,128.460007,126.209999,126.739998,126.365967,74403800,0.0011058451991444785
2021-06-09,127.209999,127.750000,126.519997,127.129997,126.754822,56877900,-0.0006288971042283653
2021-06-10,127.019997,128.190002,125.940002,126.110001,125.737831,71186400,-0.0071641947842276095
2021-06-11,126.529999,127.440002,126.099998,127.349998,126.974167,53522400,0.006480668667356867
2021-06-14,127.820000,130.539993,127.070000,130.479996,130.094925,96906500,0.020810483492411255
2021-06-15,129.940002,130.600006,129.389999,129.639999,129.257416,62746300,-0.002308780940298922
2021-06-16,130.369995,130.889999,128.460007,130.149994,129.765900,91815000,-0.0016875125292441437
2021-06-17,129.800003,132.550003,129.649994,131.789993,131.401062,96721700,0.015331201494656405
2021-06-18,130.710007,131.509995,130.240005,130.460007,130.074997,108953300,-0.0019126309127961412
2021-06-21,130.300003,132.410004,129.210007,132.300003,131.909561,79663300,0.015349193813909581
2021-06-22,132.130005,134.080002,131.619995,133.979996,133.584595,74783600,0.01400129365014395
2021-06-23,133.770004,134.320007,133.229996,133.699997,133.305435,60214200,-0.000523338550546832
2021-06-24,134.449997,134.639999,132.929993,133.410004,133.016281,68711000,-0.007735165661625189
2021-06-25,133.460007,133.889999,132.809998,133.110001,132.717178,70783700,-0.002622553436551065
2021-06-28,133.410004,135.250000,133.350006,134.779999,134.382248,62111300,0.010269057483875178
2021-06-29,134.800003,136.490005,134.350006,136.330002,135.927673,64556100,0.011350140696955353
